#Note: Please remove semicolon (;) from your file editor's list of delimiter or separator characters.
66652013,64300253,community/fatherhood/sidebar,sidebar,300x250,No description,,,,yes
66652133,64300373,community/lgbtq-health/sidebar,sidebar,300x250,No description,,,,yes
66652253,64300493,community/health-insurance/sidebar,sidebar,300x250,No description,,,,yes
66652373,64300613,community/herbs-and-supplements/sidebar,sidebar,300x250,No description,,,,yes
66652493,64300733,community/homeopathy/sidebar,sidebar,300x250,No description,,,,yes
66652613,64300853,community/hospice-care/sidebar,sidebar,300x250,No description,,,,yes
66663173,64311413,community/nephrotic-syndrome-and-fsgs/sidebar,sidebar,300x250,No description,,,,yes
66652853,64301093,community/massage/sidebar,sidebar,300x250,No description,,,,yes
66652973,64301213,community/motherhood/sidebar,sidebar,300x250,No description,,,,yes
66673493,64321733,community/continence/sidebar,sidebar,300x250,No description,,,,yes
66653093,64301333,community/nutritional-supplements/sidebar,sidebar,300x250,No description,,,,yes
66655733,64303973,community/birth-control-and-contraceptives/sidebar,sidebar,300x250,No description,,,,yes
66673613,64321853,community/short-bowel-syndrome-foundation/sidebar,sidebar,300x250,No description,,,,yes
66673733,64321973,community/ms-research-community-01/sidebar,sidebar,300x250,No description,,,,yes
66673853,64322093,community/viral-hepatitis/sidebar,sidebar,300x250,No description,,,,yes
66673973,64322213,community/fibromuscular-dysplasia-society-of-america/sidebar,sidebar,300x250,No description,,,,yes
66674093,64322333,community/american-lung-association-copd/sidebar,sidebar,300x250,No description,,,,yes
66674213,64322453,community/abuse-survivors/sidebar,sidebar,300x250,No description,,,,yes
66674333,64322573,community/lymphoma-research-foundation/sidebar,sidebar,300x250,No description,,,,yes
66674453,64322693,community/stop-caid-now/sidebar,sidebar,300x250,No description,,,,yes
66674573,64322813,community/cerebral-aneurysm/sidebar,sidebar,300x250,No description,,,,yes
66674693,64322933,community/peyronies-disease/sidebar,sidebar,300x250,No description,,,,yes
66674813,64323053,community/living-with-pulmonary-fibrosis/sidebar,sidebar,300x250,No description,,,,yes
66674933,64323173,community/caring-for-pulmonary-fibrosis/sidebar,sidebar,300x250,No description,,,,yes
66675053,64323293,community/cloves-syndrome-community/sidebar,sidebar,300x250,No description,,,,yes
66675173,64323413,community/eos-connections/sidebar,sidebar,300x250,No description,,,,yes
66655853,64304093,community/bladder-cancer-advocacy-network/sidebar,sidebar,300x250,No description,,,,yes
66654293,64302533,community/als-association/sidebar,sidebar,300x250,No description,,,,yes
66654413,64302653,community/abortion/sidebar,sidebar,300x250,No description,,,,yes
66654533,64302773,community/type-2-diabetes/sidebar,sidebar,300x250,No description,,,,yes
66654653,64302893,community/alcohol-abuse/sidebar,sidebar,300x250,No description,,,,yes
66654773,64303013,community/ovarian-cancer-national-alliance/sidebar,sidebar,300x250,No description,,,,yes
66654893,64303133,community/alzheimers-foundation-of-america/sidebar,sidebar,300x250,No description,,,,yes
66655013,64303253,community/ifred-anxiety-and-depression/sidebar,sidebar,300x250,No description,,,,yes
66655133,64303373,community/arthritis-foundation/sidebar,sidebar,300x250,No description,,,,yes
66655253,64303493,community/asthma-and-allergy-foundation-of-america/sidebar,sidebar,300x250,No description,,,,yes
66655373,64303613,community/center-for-autism-and-related-disorders/sidebar,sidebar,300x250,No description,,,,yes
66655493,64303733,community/autoimmune-diseases/sidebar,sidebar,300x250,No description,,,,yes
66655613,64303853,community/bacterial-infections/sidebar,sidebar,300x250,No description,,,,yes
66654173,64302413,community/als/sidebar,sidebar,300x250,No description,,,,yes
66658373,64306613,community/crohns-disease/sidebar,sidebar,300x250,No description,,,,yes
66662813,64311053,community/muscular-dystrophy/sidebar,sidebar,300x250,No description,,,,yes
66662933,64311173,community/national-cervical-cancer-coalition/sidebar,sidebar,300x250,No description,,,,yes
66663053,64311293,community/national-osteoporosis-foundation/sidebar,sidebar,300x250,No description,,,,yes
66663293,64311533,community/nerve-diseases/sidebar,sidebar,300x250,No description,,,,yes
66658493,64306733,community/cystic-fibrosis/sidebar,sidebar,300x250,No description,,,,yes
66660293,64308533,community/head-and-neck-cancer-alliance/sidebar,sidebar,300x250,No description,,,,yes
66657293,64305533,community/cartilage-disorders/sidebar,sidebar,300x250,No description,,,,yes
66657533,64305773,community/cerebral-palsy/sidebar,sidebar,300x250,No description,,,,yes
66657653,64305893,community/chiropractic-therapy/sidebar,sidebar,300x250,No description,,,,yes
66657773,64306013,community/chronic-fatigue-syndrome/sidebar,sidebar,300x250,No description,,,,yes
66657893,64306133,community/circulatory-disorders/sidebar,sidebar,300x250,No description,,,,yes
66658013,64306253,community/fight-colorectal-cancer/sidebar,sidebar,300x250,No description,,,,yes
66658133,64306373,community/communication-disorders/sidebar,sidebar,300x250,No description,,,,yes
66658253,64306493,community/connective-tissue-disorders/sidebar,sidebar,300x250,No description,,,,yes
66662693,64310933,community/movement-disorders/sidebar,sidebar,300x250,No description,,,,yes
66658613,64306853,community/developmental-disabilities/sidebar,sidebar,300x250,No description,,,,yes
66658733,64306973,community/digestive-system-disorders/sidebar,sidebar,300x250,No description,,,,yes
66659813,64308053,community/food-borne-diseases/sidebar,sidebar,300x250,No description,,,,yes
66660173,64308413,community/head-and-brain-injuries/sidebar,sidebar,300x250,No description,,,,yes
66660053,64308293,community/hiv-and-aids/sidebar,sidebar,300x250,No description,,,,yes
66659933,64308173,community/genetics-and-birth-defects/sidebar,sidebar,300x250,No description,,,,yes
66658853,64307093,community/drug-abuse/sidebar,sidebar,300x250,No description,,,,yes
66659693,64307933,community/flu/sidebar,sidebar,300x250,No description,,,,yes
66659573,64307813,community/facial-injuries-and-disorders/sidebar,sidebar,300x250,No description,,,,yes
66659453,64307693,community/eye-infections-and-diseases/sidebar,sidebar,300x250,No description,,,,yes
66659333,64307573,community/endocrine-system-disorders/sidebar,sidebar,300x250,No description,,,,yes
66659213,64307453,community/encephalitis-global/sidebar,sidebar,300x250,No description,,,,yes
66659093,64307333,community/eating-disorders/sidebar,sidebar,300x250,No description,,,,yes
66658973,64307213,community/dwarfism/sidebar,sidebar,300x250,No description,,,,yes
66661133,64309373,community/type-1-diabetes/sidebar,sidebar,300x250,No description,,,,yes
66653333,64301573,community/recipe-sharing/sidebar,sidebar,300x250,No description,,,,yes
66653453,64301693,community/reconstructive-surgery/sidebar,sidebar,300x250,No description,,,,yes
66653573,64301813,community/running/sidebar,sidebar,300x250,No description,,,,yes
66653693,64301933,community/vegetarians-and-vegans/sidebar,sidebar,300x250,No description,,,,yes
66653813,64302053,community/yoga-and-meditation/sidebar,sidebar,300x250,No description,,,,yes
66653933,64302173,community/add-and-adhd/sidebar,sidebar,300x250,No description,,,,yes
66654053,64302293,community/agmd-gi-motility/sidebar,sidebar,300x250,No description,,,,yes
66661853,64310093,community/american-lung-association-lung-disease/sidebar,sidebar,300x250,No description,,,,yes
66660413,64308653,community/headaches-and-migraines/sidebar,sidebar,300x250,No description,,,,yes
66660533,64308773,community/heart-bypass-surgery/sidebar,sidebar,300x250,No description,,,,yes
66660653,64308893,community/mended-hearts-heart-disease/sidebar,sidebar,300x250,No description,,,,yes
66660773,64309013,community/hepatitis-c/sidebar,sidebar,300x250,No description,,,,yes
66660893,64309133,community/huntingtons-disease/sidebar,sidebar,300x250,No description,,,,yes
66661013,64309253,community/irritable-bowel-syndrome/sidebar,sidebar,300x250,No description,,,,yes
66653213,64301453,community/parents-of-children-with-disabilities/sidebar,sidebar,300x250,No description,,,,yes
66661253,64309493,community/kidney-and-urology-foundation/sidebar,sidebar,300x250,No description,,,,yes
66661373,64309613,community/lactose-intolerance/sidebar,sidebar,300x250,No description,,,,yes
66661493,64309733,community/learning-disorders/sidebar,sidebar,300x250,No description,,,,yes
66661613,64309853,community/leukemia-lymphoma-and-myeloma/sidebar,sidebar,300x250,No description,,,,yes
66664853,64313093,community/salivary-gland-disorders/sidebar,sidebar,300x250,No description,,,,yes
66661733,64309973,community/american-lung-association-lung-cancer-survivors/sidebar,sidebar,300x250,No description,,,,yes
66657413,64305653,community/beyond-celiac/sidebar,sidebar,300x250,No description,,,,yes
66661973,64310213,community/lupus/sidebar,sidebar,300x250,No description,,,,yes
66662093,64310333,community/lymphatic-diseases/sidebar,sidebar,300x250,No description,,,,yes
66662213,64310453,community/mens-health/sidebar,sidebar,300x250,No description,,,,yes
66662333,64310573,community/meningitis-and-encephalitis/sidebar,sidebar,300x250,No description,,,,yes
66662453,64310693,community/red-hot-mamas-menopause/sidebar,sidebar,300x250,No description,,,,yes
66662573,64310813,community/metabolic-disorders/sidebar,sidebar,300x250,No description,,,,yes
66664133,64312373,community/parkinsons-disease/sidebar,sidebar,300x250,No description,,,,yes
66668813,64317053,community/congenital-adrenal-hyperplasia/sidebar,sidebar,300x250,No description,,,,yes
66668693,64316933,community/united-leukodystrophy-foundation/sidebar,sidebar,300x250,No description,,,,yes
66668573,64316813,community/chai-lifeline/sidebar,sidebar,300x250,No description,,,,yes
66668453,64316693,community/organic-acidemia-association/sidebar,sidebar,300x250,No description,,,,yes
66668333,64316573,community/amyloidosis/sidebar,sidebar,300x250,No description,,,,yes
66664253,64312493,community/preemie/sidebar,sidebar,300x250,No description,,,,yes
66665213,64313453,community/american-sexual-health-association/sidebar,sidebar,300x250,No description,,,,yes
66665093,64313333,community/senior-health/sidebar,sidebar,300x250,No description,,,,yes
66664973,64313213,community/seizures/sidebar,sidebar,300x250,No description,,,,yes
66664733,64312973,community/rare-disease-and-genetic-conditions/sidebar,sidebar,300x250,No description,,,,yes
66664613,64312853,community/quit-smoking/sidebar,sidebar,300x250,No description,,,,yes
66664493,64312733,community/prostate-diseases/sidebar,sidebar,300x250,No description,,,,yes
66664373,64312613,community/us-too-prostate-cancer/sidebar,sidebar,300x250,No description,,,,yes
66665333,64313573,community/sickle-cell-anemia/sidebar,sidebar,300x250,No description,,,,yes
66668933,64317173,community/advanced-breast-cancer/sidebar,sidebar,300x250,No description,,,,yes
66664013,64312253,community/parasitic-diseases/sidebar,sidebar,300x250,No description,,,,yes
66663893,64312133,community/paralysis-resource-center/sidebar,sidebar,300x250,No description,,,,yes
66663773,64312013,community/chronic-pain/sidebar,sidebar,300x250,No description,,,,yes
66663653,64311893,community/oral-health/sidebar,sidebar,300x250,No description,,,,yes
66663533,64311773,community/oley-foundation/sidebar,sidebar,300x250,No description,,,,yes
66663413,64311653,community/neurological-disorders/sidebar,sidebar,300x250,No description,,,,yes
66667253,64315493,community/vision-disorders-and-blindness/sidebar,sidebar,300x250,No description,,,,yes
66665453,64313693,community/skin-cancer/sidebar,sidebar,300x250,No description,,,,yes
66665573,64313813,community/skin-conditions/sidebar,sidebar,300x250,No description,,,,yes
66665693,64313933,community/sleep-disorders/sidebar,sidebar,300x250,No description,,,,yes
66665813,64314053,community/soft-tissue-sarcomas/sidebar,sidebar,300x250,No description,,,,yes
66665933,64314173,community/stop-sarcoidosis/sidebar,sidebar,300x250,No description,,,,yes
66666053,64314293,community/stroke/sidebar,sidebar,300x250,No description,,,,yes
66666173,64314413,community/sudden-cardiac-arrest-association/sidebar,sidebar,300x250,No description,,,,yes
66670613,64318853,community/charcot-marie-tooth-cmt/sidebar,sidebar,300x250,No description,,,,yes
66667973,64316213,community/neurofibromatosis-network/sidebar,sidebar,300x250,No description,,,,yes
66667853,64316093,community/my-child-without-limits/sidebar,sidebar,300x250,No description,,,,yes
66667733,64315973,community/womenheart/sidebar,sidebar,300x250,No description,,,,yes
66667613,64315853,community/womens-health/sidebar,sidebar,300x250,No description,,,,yes
66667493,64315733,community/women-and-cancer/sidebar,sidebar,300x250,No description,,,,yes
66668093,64316333,community/caregivers/sidebar,sidebar,300x250,No description,,,,yes
66671213,64319453,community/national-fabry-disease-foundation/sidebar,sidebar,300x250,No description,,,,yes
66667373,64315613,community/wilson-disease-association/sidebar,sidebar,300x250,No description,,,,yes
66669773,64318013,community/living-after-infertility-resolution/sidebar,sidebar,300x250,No description,,,,yes
66675533,64323773,community/national-lymphedema-network/sidebar,sidebar,300x250,No description,,,,yes
66671093,64319333,community/fibromyalgia/sidebar,sidebar,300x250,No description,,,,yes
66670973,64319213,community/appendix-cancer-pseudomyxoma-peritonei-pmp/sidebar,sidebar,300x250,No description,,,,yes
66670853,64319093,community/capital-caring/sidebar,sidebar,300x250,No description,,,,yes
66670733,64318973,community/scleroderma-foundation/sidebar,sidebar,300x250,No description,,,,yes
66671453,64319693,community/vascular-disease/sidebar,sidebar,300x250,No description,,,,yes
66670493,64318733,community/living-well-with-cancer/sidebar,sidebar,300x250,No description,,,,yes
66670373,64318613,community/lysosomal-diseases/sidebar,sidebar,300x250,No description,,,,yes
66670253,64318493,community/pediatric-palliative-care/sidebar,sidebar,300x250,No description,,,,yes
66670133,64318373,community/health-news/sidebar,sidebar,300x250,No description,,,,yes
66670013,64318253,community/diet-fitness-and-healthy-living/sidebar,sidebar,300x250,No description,,,,yes
66669893,64318133,community/pregnancy-and-parenting/sidebar,sidebar,300x250,No description,,,,yes
66668213,64316453,community/clinical-research-volunteers/sidebar,sidebar,300x250,No description,,,,yes
66669653,64317893,community/finding-a-resolution-for-infertility/sidebar,sidebar,300x250,No description,,,,yes
66669533,64317773,community/down-syndrome/sidebar,sidebar,300x250,No description,,,,yes
66669413,64317653,community/american-liver-foundation/sidebar,sidebar,300x250,No description,,,,yes
66669293,64317533,community/american-childhood-cancer-organization/sidebar,sidebar,300x250,No description,,,,yes
66669173,64317413,community/meridian-health-multiple-sclerosis/sidebar,sidebar,300x250,No description,,,,yes
66669053,64317293,community/lombardi-childrens-cancer/sidebar,sidebar,300x250,No description,,,,yes
66673013,64321253,community/ehlers-danlos-national-foundation/sidebar,sidebar,300x250,No description,,,,yes
66677573,64325813,community/lung-cancer-research/sidebar,sidebar,300x250,No description,,,,yes
66677693,64325933,community/national-blood-clot-alliance/sidebar,sidebar,300x250,No description,,,,yes
66677813,64326053,community/lung-neuroendocrine-tumor-lungnet/sidebar,sidebar,300x250,No description,,,,yes
66677933,64326173,community/spinal-csf-leak-foundation/sidebar,sidebar,300x250,No description,,,,yes
66678053,64326293,community/dysautonomia-support-network/sidebar,sidebar,300x250,No description,,,,yes
66678173,64326413,community/the-lipedema-project/sidebar,sidebar,300x250,No description,,,,yes
66678293,64326533,community/cancer-immunotherapy/sidebar,sidebar,300x250,No description,,,,yes
66678413,64326653,community/wound-healing/sidebar,sidebar,300x250,No description,,,,yes
74864813,74863973,community/ovarian-cancer/sidebar,sidebar,300x250,,,,,yes
74875853,74875733,community/living-with-asthma/sidebar,sidebar,300x250,,,,,yes
74876333,74876213,community/allergies/sidebar,sidebar,300x250,,,,,yes
66672293,64320533,community/g-pact-gastroparesis-and-cip/sidebar,sidebar,300x250,No description,,,,yes
66673253,64321493,community/national-adrenal-diseases-foundation/sidebar,sidebar,300x250,No description,,,,yes
66673133,64321373,community/cincinnati-childrens/sidebar,sidebar,300x250,No description,,,,yes
66666413,64314653,community/testicular-cancer/sidebar,sidebar,300x250,No description,,,,yes
66672893,64321133,community/talk-psoriasis/sidebar,sidebar,300x250,No description,,,,yes
66672773,64321013,community/thyca-thyroid-cancer-survivors-association/sidebar,sidebar,300x250,No description,,,,yes
66672653,64320893,community/ostomy/sidebar,sidebar,300x250,No description,,,,yes
66672533,64320773,community/tuberous-sclerosis-alliance/sidebar,sidebar,300x250,No description,,,,yes
66672413,64320653,community/nicu/sidebar,sidebar,300x250,No description,,,,yes
66673373,64321613,community/national-eczema-association/sidebar,sidebar,300x250,No description,,,,yes
66672173,64320413,community/endometriosis/sidebar,sidebar,300x250,No description,,,,yes
66672053,64320293,community/food-allergies/sidebar,sidebar,300x250,No description,,,,yes
66671933,64320173,community/multiple-sclerosis/sidebar,sidebar,300x250,No description,,,,yes
66671813,64320053,community/mental-health-america/sidebar,sidebar,300x250,No description,,,,yes
66671693,64319933,community/fit-arlington/sidebar,sidebar,300x250,No description,,,,yes
66671573,64319813,community/the-dougy-center/sidebar,sidebar,300x250,No description,,,,yes
66671333,64319573,community/sarcopenia/sidebar,sidebar,300x250,No description,,,,yes
66676733,64324973,community/psoriasis-and-psoriatic-arthritis-research/sidebar,sidebar,300x250,No description,,,,yes
66677453,64325693,community/invisible-disabilities-association/sidebar,sidebar,300x250,No description,,,,yes
66666293,64314533,community/teen-health/sidebar,sidebar,300x250,No description,,,,yes
66666533,64314773,community/the-childrens-inn/sidebar,sidebar,300x250,No description,,,,yes
66666653,64314893,community/thyroid-diseases/sidebar,sidebar,300x250,No description,,,,yes
66666773,64315013,community/transplants/sidebar,sidebar,300x250,No description,,,,yes
66666893,64315133,community/undiagnosed-medical-problems/sidebar,sidebar,300x250,No description,,,,yes
66667013,64315253,community/vhl-alliance/sidebar,sidebar,300x250,No description,,,,yes
66667133,64315373,community/viral-infections/sidebar,sidebar,300x250,No description,,,,yes
91408133,91408013,community/pancreatitis/sidebar,sidebar,300x250,,,,,yes
91408373,91408253,community/retinal-blindness/sidebar,sidebar,,,,,,yes
66676973,64325213,community/turner-syndrome-society/sidebar,sidebar,300x250,No description,,,,yes
66676853,64325093,community/multiple-myeloma/sidebar,sidebar,300x250,No description,,,,yes
66676613,64324853,community/systemic-juvenile-idiopathic-arthritis-sjia/sidebar,sidebar,300x250,No description,,,,yes
66676493,64324733,community/interstitial-cystitis-association/sidebar,sidebar,300x250,No description,,,,yes
66675413,64323653,community/pancreatic-neuroendocrine-tumor-pnet/sidebar,sidebar,300x250,No description,,,,yes
66677333,64325573,community/insomnia-research/sidebar,sidebar,300x250,No description,,,,yes
66677213,64325453,community/united-mitochondrial-disease-foundation/sidebar,sidebar,300x250,No description,,,,yes
66677093,64325333,community/kidney-cancer-association/sidebar,sidebar,300x250,No description,,,,yes
66675293,64323533,community/urology/sidebar,sidebar,300x250,No description,,,,yes
66676373,64324613,community/pcdh19-alliance/sidebar,sidebar,300x250,No description,,,,yes
74876093,74875973,community/freedom-from-smoking/sidebar,sidebar,300x250,,,,,yes
66675653,64323893,community/abc-research/sidebar,sidebar,300x250,No description,,,,yes
66675773,64324013,community/gaucher-disease/sidebar,sidebar,300x250,No description,,,,yes
66675893,64324133,community/cushings-disease/sidebar,sidebar,300x250,No description,,,,yes
66676013,64324253,community/pulmonary-arterial-hypertension-pah/sidebar,sidebar,300x250,No description,,,,yes
66676133,64324373,community/debbies-dream-stomach-cancer/sidebar,sidebar,300x250,No description,,,,yes
86365733,86317853,community/gi-neuroendocrine-tumor-ginet/sidebar,sidebar,300x250,,,,,yes
66676253,64324493,community/melanoma/sidebar,sidebar,300x250,No description,,,,yes
64313693,64299533,community/skin-cancer,skin-cancer,300x250; 320x50; 728x90,No description,,,,no
64313813,64299533,community/skin-conditions,skin-conditions,300x250; 320x50; 728x90,No description,,,,no
64313933,64299533,community/sleep-disorders,sleep-disorders,300x250; 320x50; 728x90,No description,,,,no
64314053,64299533,community/soft-tissue-sarcomas,soft-tissue-sarcomas,300x250; 320x50; 728x90,No description,,,,no
64326173,64299533,community/spinal-csf-leak-foundation,spinal-csf-leak-foundation,300x250; 320x50; 728x90,No description,,,,no
64322693,64299533,community/stop-caid-now,stop-caid-now,300x250; 320x50; 728x90,No description,,,,no
64314173,64299533,community/stop-sarcoidosis,stop-sarcoidosis,300x250; 320x50; 728x90,No description,,,,no
64314293,64299533,community/stroke,stroke,300x250; 320x50; 728x90,No description,,,,no
64314413,64299533,community/sudden-cardiac-arrest-association,sudden-cardiac-arrest-association,300x250; 320x50; 728x90,No description,,,,no
64324853,64299533,community/systemic-juvenile-idiopathic-arthritis-sjia,systemic-juvenile-idiopathic-arthritis-sjia,300x250; 320x50; 728x90,No description,,,,no
64321133,64299533,community/talk-psoriasis,talk-psoriasis,300x250; 320x50; 728x90,No description,,,,no
64314533,64299533,community/teen-health,teen-health,300x250; 320x50; 728x90,No description,,,,no
64314653,64299533,community/testicular-cancer,testicular-cancer,300x250; 320x50; 728x90,No description,,,,no
64314773,64299533,community/the-childrens-inn,the-childrens-inn,300x250; 320x50; 728x90,No description,,,,no
64319813,64299533,community/the-dougy-center,the-dougy-center,300x250; 320x50; 728x90,No description,,,,no
64326413,64299533,community/the-lipedema-project,the-lipedema-project,300x250; 320x50; 728x90,No description,,,,no
64321013,64299533,community/thyca-thyroid-cancer-survivors-association,thyca-thyroid-cancer-survivors-association,300x250; 320x50; 728x90,No description,,,,no
64314893,64299533,community/thyroid-diseases,thyroid-diseases,300x250; 320x50; 728x90,No description,,,,no
64315013,64299533,community/transplants,transplants,300x250; 320x50; 728x90,No description,,,,no
64320773,64299533,community/tuberous-sclerosis-alliance,tuberous-sclerosis-alliance,300x250; 320x50; 728x90,No description,,,,no
64325213,64299533,community/turner-syndrome-society,turner-syndrome-society,300x250; 320x50; 728x90,No description,,,,no
64309373,64299533,community/type-1-diabetes,type-1-diabetes,300x250; 320x50; 728x90,No description,,,,no
64302773,64299533,community/type-2-diabetes,type-2-diabetes,300x250; 320x50; 728x90,No description,,,,no
64315133,64299533,community/undiagnosed-medical-problems,undiagnosed-medical-problems,300x250; 320x50; 728x90,No description,,,,no
64316933,64299533,community/united-leukodystrophy-foundation,united-leukodystrophy-foundation,300x250; 320x50; 728x90,No description,,,,no
64325453,64299533,community/united-mitochondrial-disease-foundation,united-mitochondrial-disease-foundation,300x250; 320x50; 728x90,No description,,,,no
64323533,64299533,community/urology,urology,300x250; 320x50; 728x90,No description,,,,no
64312613,64299533,community/us-too-prostate-cancer,us-too-prostate-cancer,300x250; 320x50; 728x90,No description,,,,no
64319693,64299533,community/vascular-disease,vascular-disease,300x250; 320x50; 728x90,No description,,,,no
64301933,64299533,community/vegetarians-and-vegans,vegetarians-and-vegans,300x250; 320x50; 728x90,No description,,,,no
64315253,64299533,community/vhl-alliance,vhl-alliance,300x250; 320x50; 728x90,No description,,,,no
64322093,64299533,community/viral-hepatitis,viral-hepatitis,300x250; 320x50; 728x90,No description,,,,no
64315373,64299533,community/viral-infections,viral-infections,300x250; 320x50; 728x90,No description,,,,no
64315493,64299533,community/vision-disorders-and-blindness,vision-disorders-and-blindness,300x250; 320x50; 728x90,No description,,,,no
64315613,64299533,community/wilson-disease-association,wilson-disease-association,300x250; 320x50; 728x90,No description,,,,no
64315733,64299533,community/women-and-cancer,women-and-cancer,300x250; 320x50; 728x90,No description,,,,no
64315973,64299533,community/womenheart,womenheart,300x250; 320x50; 728x90,No description,,,,no
64315853,64299533,community/womens-health,womens-health,300x250; 320x50; 728x90,No description,,,,no
64326653,64299533,community/wound-healing,wound-healing,300x250; 320x50; 728x90,No description,,,,no
64302053,64299533,community/yoga-and-meditation,yoga-and-meditation,300x250; 320x50; 728x90,No description,,,,no
